areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2023-08-12,00_04,25,130,4.0
E92000001,England,nation,2023-08-12,00_59,413,3238,7.5
E92000001,England,nation,2023-08-12,05_09,7,28,0.8
E92000001,England,nation,2023-08-12,10_14,4,40,1.2
E92000001,England,nation,2023-08-12,15_19,13,93,3.0
E92000001,England,nation,2023-08-12,20_24,23,183,5.3
E92000001,England,nation,2023-08-12,25_29,34,261,6.9
E92000001,England,nation,2023-08-12,30_34,51,346,9.0
E92000001,England,nation,2023-08-12,35_39,46,332,8.9
E92000001,England,nation,2023-08-12,40_44,48,348,10.0
E92000001,England,nation,2023-08-12,45_49,38,388,10.7
E92000001,England,nation,2023-08-12,50_54,58,519,13.4
E92000001,England,nation,2023-08-12,55_59,66,570,15.2
E92000001,England,nation,2023-08-12,60+,384,3047,22.3
E92000001,England,nation,2023-08-12,60_64,82,612,19.1
E92000001,England,nation,2023-08-12,65_69,61,545,19.6
E92000001,England,nation,2023-08-12,70_74,75,502,17.8
E92000001,England,nation,2023-08-12,75_79,57,495,24.6
E92000001,England,nation,2023-08-12,80_84,44,384,26.5
E92000001,England,nation,2023-08-12,85_89,42,289,32.6
E92000001,England,nation,2023-08-12,90+,23,220,42.2
E92000001,England,nation,2023-08-12,unassigned,0,4,
E92000001,England,nation,2023-08-11,00_04,17,121,3.7
E92000001,England,nation,2023-08-11,00_59,433,3158,7.4
E92000001,England,nation,2023-08-11,05_09,2,23,0.6
E92000001,England,nation,2023-08-11,10_14,7,40,1.2
E92000001,England,nation,2023-08-11,15_19,17,87,2.8
E92000001,England,nation,2023-08-11,20_24,21,172,5.0
E92000001,England,nation,2023-08-11,25_29,27,250,6.6
E92000001,England,nation,2023-08-11,30_34,49,321,8.4
E92000001,England,nation,2023-08-11,35_39,45,321,8.6
E92000001,England,nation,2023-08-11,40_44,36,340,9.8
E92000001,England,nation,2023-08-11,45_49,63,398,10.9
E92000001,England,nation,2023-08-11,50_54,68,517,13.3
E92000001,England,nation,2023-08-11,55_59,81,568,15.1
E92000001,England,nation,2023-08-11,60+,442,2993,21.9
E92000001,England,nation,2023-08-11,60_64,80,586,18.3
E92000001,England,nation,2023-08-11,65_69,85,541,19.4
E92000001,England,nation,2023-08-11,70_74,79,493,17.5
E92000001,England,nation,2023-08-11,75_79,68,493,24.5
E92000001,England,nation,2023-08-11,80_84,58,375,25.9
E92000001,England,nation,2023-08-11,85_89,33,285,32.2
E92000001,England,nation,2023-08-11,90+,39,220,42.2
E92000001,England,nation,2023-08-11,unassigned,0,5,
E92000001,England,nation,2023-08-10,00_04,17,122,3.8
E92000001,England,nation,2023-08-10,00_59,418,3055,7.1
E92000001,England,nation,2023-08-10,05_09,2,22,0.6
E92000001,England,nation,2023-08-10,10_14,6,35,1.0
E92000001,England,nation,2023-08-10,15_19,19,78,2.5
E92000001,England,nation,2023-08-10,20_24,22,163,4.7
E92000001,England,nation,2023-08-10,25_29,35,239,6.3
E92000001,England,nation,2023-08-10,30_34,33,305,8.0
E92000001,England,nation,2023-08-10,35_39,37,308,8.2
E92000001,England,nation,2023-08-10,40_44,56,351,10.1
E92000001,England,nation,2023-08-10,45_49,56,374,10.3
E92000001,England,nation,2023-08-10,50_54,65,507,13.1
E92000001,England,nation,2023-08-10,55_59,70,551,14.6
E92000001,England,nation,2023-08-10,60+,431,2937,21.5
E92000001,England,nation,2023-08-10,60_64,77,586,18.3
E92000001,England,nation,2023-08-10,65_69,90,500,18.0
E92000001,England,nation,2023-08-10,70_74,68,479,17.0
E92000001,England,nation,2023-08-10,75_79,70,495,24.6
E92000001,England,nation,2023-08-10,80_84,51,368,25.4
E92000001,England,nation,2023-08-10,85_89,43,298,33.7
E92000001,England,nation,2023-08-10,90+,32,211,40.5
