season,year,month,week,rate,include
2013-2014,2013,August,32,0,TRUE
2013-2014,2013,August,33,0,TRUE
2013-2014,2013,August,34,0,TRUE
2013-2014,2013,August,35,0,TRUE
2013-2014,2013,September,36,0,TRUE
2013-2014,2013,September,37,0,TRUE
2013-2014,2013,September,38,0,TRUE
2013-2014,2013,September,39,0,TRUE
2013-2014,2013,October,40,0.02,TRUE
2013-2014,2013,October,41,0.05,TRUE
2013-2014,2013,October,42,0.08,TRUE
2013-2014,2013,October,43,0.06,TRUE
2013-2014,2013,October,44,0.045,TRUE
2013-2014,2013,November,45,0.047,TRUE
2013-2014,2013,November,46,0.1,TRUE
2013-2014,2013,November,47,0.12,TRUE
2013-2014,2013,November,48,0.15,TRUE
2013-2014,2013,December,49,0.35,TRUE
2013-2014,2013,December,50,0.38,TRUE
2013-2014,2013,December,51,0.41,TRUE
2013-2014,2013,December,52,0.42,TRUE
2013-2014,2014,December,1,0.66,TRUE
2013-2014,2014,January,2,0.69,TRUE
2013-2014,2014,January,3,0.76,TRUE
2013-2014,2014,January,4,0.99,TRUE
2013-2014,2014,January,5,1.4,TRUE
2013-2014,2014,February,6,1.45,TRUE
2013-2014,2014,February,7,1.45,TRUE
2013-2014,2014,February,8,1.35,TRUE
2013-2014,2014,February,9,1.25,TRUE
2013-2014,2014,March,10,1.15,TRUE
2013-2014,2014,March,11,1.12,TRUE
2013-2014,2014,March,12,1.08,TRUE
2013-2014,2014,March,13,1.03,TRUE
2013-2014,2014,April,14,0.85,TRUE
2013-2014,2014,April,15,0.7,TRUE
2013-2014,2014,April,16,0.55,TRUE
2013-2014,2014,April,17,0.45,TRUE
2013-2014,2014,April,18,0.4,TRUE
2013-2014,2014,May,19,0.22,TRUE
2013-2014,2014,May,20,0.19,TRUE
2013-2014,2014,May,21,0.18,TRUE
2013-2014,2014,May,22,0.1,TRUE
2014-2015,2014,August,32,0,TRUE
2014-2015,2014,August,33,0,TRUE
2014-2015,2014,August,34,0,TRUE
2014-2015,2014,August,35,0,TRUE
2014-2015,2014,September,36,0,TRUE
2014-2015,2014,September,37,0,TRUE
2014-2015,2014,September,38,0,TRUE
2014-2015,2014,September,39,0,TRUE
2014-2015,2014,October,40,0,TRUE
2014-2015,2014,October,41,0.02,TRUE
2014-2015,2014,October,42,0.01,TRUE
2014-2015,2014,October,43,0.012,TRUE
2014-2015,2014,October,44,0.011,TRUE
2014-2015,2014,November,45,0.12,TRUE
2014-2015,2014,November,46,0.16,TRUE
2014-2015,2014,November,47,0.2,TRUE
2014-2015,2014,November,48,0.25,TRUE
2014-2015,2014,December,49,0.45,TRUE
2014-2015,2014,December,50,0.5,TRUE
2014-2015,2014,December,51,0.8,TRUE
2014-2015,2014,December,52,1,TRUE
2014-2015,2015,December,1,1.3,TRUE
2014-2015,2015,January,2,2,TRUE
2014-2015,2015,January,3,2.5,TRUE
2014-2015,2015,January,4,2.7,TRUE
2014-2015,2015,January,5,2.71,TRUE
2014-2015,2015,February,6,2.6,TRUE
2014-2015,2015,February,7,2,TRUE
2014-2015,2015,February,8,1.7,TRUE
2014-2015,2015,February,9,1.55,TRUE
2014-2015,2015,March,10,0.9,TRUE
2014-2015,2015,March,11,0.75,TRUE
2014-2015,2015,March,12,0.7,TRUE
2014-2015,2015,March,13,1.1,TRUE
2014-2015,2015,April,14,1.05,TRUE
2014-2015,2015,April,15,1.25,TRUE
2014-2015,2015,April,16,0.7,TRUE
2014-2015,2015,April,17,0.8,TRUE
2014-2015,2015,April,18,0.7,TRUE
2014-2015,2015,May,19,0.6,TRUE
2014-2015,2015,May,20,0.5,TRUE
2014-2015,2015,May,21,0.2,TRUE
2014-2015,2015,May,22,0.1,TRUE
2015-2016,2015,August,32,0,TRUE
2015-2016,2015,August,33,0,TRUE
2015-2016,2015,August,34,0,TRUE
2015-2016,2015,August,35,0,TRUE
2015-2016,2015,September,36,0,TRUE
2015-2016,2015,September,37,0,TRUE
2015-2016,2015,September,38,0,TRUE
2015-2016,2015,September,39,0,TRUE
2015-2016,2015,October,40,0,TRUE
2015-2016,2015,October,41,0.02,TRUE
2015-2016,2015,October,42,0.01,TRUE
2015-2016,2015,October,43,0.012,TRUE
2015-2016,2015,October,44,0.011,TRUE
2015-2016,2015,November,45,0.12,TRUE
2015-2016,2015,November,46,0.16,TRUE
2015-2016,2015,November,47,0.2,TRUE
2015-2016,2015,November,48,0.25,TRUE
2015-2016,2015,December,49,0.45,TRUE
2015-2016,2015,December,50,0.5,TRUE
2015-2016,2015,December,51,0.8,TRUE
2015-2016,2015,December,52,1,TRUE
2015-2016,2016,December,1,1.3,TRUE
2015-2016,2016,January,2,2,TRUE
2015-2016,2016,January,3,2.5,TRUE
2015-2016,2016,January,4,2.7,TRUE
2015-2016,2016,January,5,2.71,TRUE
2015-2016,2016,February,6,2.6,TRUE
2015-2016,2016,February,7,2,TRUE
2015-2016,2016,February,8,1.7,TRUE
2015-2016,2016,February,9,1.55,TRUE
2015-2016,2016,March,10,0.9,TRUE
2015-2016,2016,March,11,0.75,TRUE
2015-2016,2016,March,12,0.7,TRUE
2015-2016,2016,March,13,1.1,TRUE
2015-2016,2016,April,14,1.05,TRUE
