ucl_id,x,y
1,531203.4856787067,182832.01292656513
2,525208.0836187568,179391.92807866406
3,532985.7852528284,182001.59699925268
4,530437.7364621961,182911.99406786758
5,528050.9658360105,178742.00371917966
6,528858.4282225688,181542.9398556982
7,527159.0287119617,183300.76419377374
8002,526102.4002552698,182780.03055072273
8001,527032.7312910245,182634.52168091765
9,532204.9507784634,180434.5600629283
10,532464.8988808172,180284.3139415586
11,530349.1823278387,182230.04126057512
12,529805.5274991977,181963.5236136645
13,529421.4830297161,181757.212708358
14,530254.7440472281,182894.50093416026
15,529995.6217536867,181528.39702285803
16,530101.127331653,182491.52539377724
17,531291.9802558417,181999.49408958707
18,530394.9407189225,181209.69471479178
19,529745.3828384608,182336.98834282754
20,529452.5304654262,182628.29337276262
21,529198.0667101275,182882.42276959517
22,530938.3207738572,182057.46717022266
23,530596.4920911691,181733.86595648684
24,530212.1152621538,181684.49751677888
25,529659.1020147927,182755.74353526754
26,530631.4986863679,182607.84588691697
27,531389.306841671,181129.59331214335
28,528885.8622701783,182144.52299616422
29,525452.9749770141,180970.0157085223
30,532351.3818024835,182860.79392095027
31,533048.669950577,182921.6321713301
32,532987.4376534566,182381.3251113505
33001,534162.8556963443,181535.3445253395
33002,534011.8424955762,181396.0428278633
34,529842.6468592036,183349.08513651392
35,528976.1292209206,180860.69220659672
36,526076.260496857,179650.39042056783
37,525591.3543183221,178509.7580425811
38,525236.9265484924,179145.72650356253
39,533420.1012393037,182579.84309531172
40,533612.0595129118,182016.58252385497
41,533063.8870611326,181967.03112211963
42,532312.6245389454,183064.31453020195
43,527953.6230676847,181758.42515667493
44,528883.6831646139,180722.2574224862
45,527592.5479919615,181999.82339788717
46,534254.9956070116,180460.0293065948
47,526095.4043419921,182055.24674754805
48,532002.8568325408,180996.71460409276
49,528773.3468170352,180311.30375163123
50,532766.3844650554,182818.0999537094
51,531604.0205348289,182570.30048611556
52,532264.3885781453,182168.6000779621
53,528932.2762263227,180640.58980981732
54,532299.7918343649,182035.3199408626
55,532853.7260861979,181529.76835139788
56,528124.9748988836,181798.79624664888
57,530510.3894901155,182166.96891322482
58,533348.022930421,182371.9717033321
59,530893.7400692604,183113.89884929324
60,526895.3086461852,182420.4454888928
61,532719.3321934516,179334.95662590564
62,531566.9549768985,178567.79663192236
63,532598.7492342768,183060.42641642346
64,530234.5964448442,180614.81608848012
65,529465.4651518913,182349.5426136041
66,531326.8578744729,181587.44417561922
67,531367.9786475587,181685.9863806144
68,530762.0990010143,181867.42935675214
69,529516.7836964031,182463.0170897002
70,530704.7944231585,183063.7427207278
71,532014.5001622317,181323.6184478724
72,531332.8385989316,182207.41541649308
73,532703.7108309292,182488.52257292985
74,530321.0438789118,177997.03270497994
75,531506.175769336,183177.79253124748
76,528847.3996646383,182374.66652375791
77,530238.3224178135,182167.88743841148
78,531942.9404903782,182373.33915611834
79001,532202.8716858854,178631.35699731595
79002,530983.9951023081,180886.00465745974
80,531832.1631672131,179680.31820180913
81,529053.735866437,181785.4698424054
82,531157.0230457729,181174.00168607518
83,529764.8645992969,180622.4977688254
84,531116.1019973878,181357.99995204335
85,533462.6951756219,179717.62910488696
86,530957.426828019,178409.7429694372
87,533341.2275824539,181474.99147723464
88,529701.8530230399,181616.69866180822
89,530272.7009075908,182483.9047637275
90,529166.9289581757,183208.89329062955
91,531232.9020753104,178884.9852257131
92,531951.8648388813,179483.5685159177
93,531254.0242289592,183417.0822656448
94,532978.2514698347,179083.33228960104
95,532103.657550053,181929.39788744698
96,533380.8031419916,183087.69336026022
97,526166.3157517852,179228.45336413203
